,drug_a_name,drug_b_name,cell_line,synergy,fold,DepMap_ID,stripped_cell_line_name,drugA_canonical_smi,drugB_canonical_smi,synergy_clean,label_0,label_1
0,5-FU,ABT-888,A2058,7.6935301658,2,ACH-000788,A2058,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,7.6935301658,1,2
1,5-FU,ABT-888,A2780,7.7780530601,2,ACH-000657,A2780,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,7.7780530601,1,2
2,5-FU,ABT-888,A375,-1.1985054379,2,ACH-000219,A375,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-1.1985054379,1,2
3,5-FU,ABT-888,A427,2.5956844375,2,ACH-000757,A427,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2.5956844375,1,2
4,5-FU,ABT-888,CAOV3,-5.1399712212,2,ACH-000713,CAOV3,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-5.1399712212,1,2
6,5-FU,ABT-888,DLD1,1.9351271188,2,ACH-001061,DLD1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.9351271188,1,2
8,5-FU,ABT-888,ES2,1.4986504517,2,ACH-000906,ES2,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.4986504517,1,2
9,5-FU,ABT-888,HCT116,9.4632808694,2,ACH-000971,HCT116,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,9.4632808694,1,2
10,5-FU,ABT-888,HT144,-3.7013547459,2,ACH-000322,HT144,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-3.7013547459,1,2
11,5-FU,ABT-888,HT29,10.1734339084,2,ACH-000552,HT29,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,10.1734339084,2,3
12,5-FU,ABT-888,KPL1,2.1570044282,2,ACH-000028,KPL1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2.1570044282,1,2
